N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,matrix_conceptor,52.272000000000006,28,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021701519575835003
250,matrix_conceptor,42.768,28,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002268691454174037
250,matrix_conceptor,38.4912,28,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002319873929304927
250,matrix_conceptor,38.4912,30.8,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023157207117794902
250,matrix_conceptor,38.4912,25.2,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023561012654719823
250,matrix_conceptor,38.4912,22.68,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022504601878027995
250,matrix_conceptor,38.4912,20.412,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002179976423892597
250,matrix_conceptor,38.4912,18.3708,24.3,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022357726764975785
250,matrix_conceptor,38.4912,18.3708,26.73,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002363504347064753
250,matrix_conceptor,38.4912,18.3708,21.87,14.579999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002284688806128634
