N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0025845062835358965
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,65.91796875,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0025250325710489967
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002603360112374782
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,70.3125,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002749068642740114
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,42.1875,117.1875,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.003093387182154372
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,146.484375,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002825620898410981
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,87.890625,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.003386374516288618
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,109.86328125,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0029746032484600066
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,137.3291015625,119.79,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0030821607134880235
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,82.3974609375,56.25,137.3291015625,131.769,3000,500,5.9049e-05,0.007290000000000001,1.2,0.6499999999999999,0.00010673289,0.00029524499999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.00284671311724035
