N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029750680833645882
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,70.3125,56.25,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028210547243973745
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,42.1875,56.25,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003060382694163596
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030770791846355997
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,70.3125,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028292007345097027
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,42.1875,100.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003251192063020229
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,125.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026973233841936658
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,75.0,108.9,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026736503776133924
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,119.79,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026919163844290996
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,98.01,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029752414323180564
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,107.811,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.002602607661457502
