n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.0263671875,0.36450000000000005,5.6250000000000005e-05,48.6,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021581240897506414
3000,500,0.0263671875,0.405,5.6250000000000005e-05,53.46,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019430690389076438
3000,500,0.0263671875,0.405,5.6250000000000005e-05,43.74,29.108970000000003,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.001929503754398094
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,32.019867000000005,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020065586388001485
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,26.198073,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018882656708790373
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,23.5782657,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017315540825854363
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,21.22043913,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0016874115768740474
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,19.098395217,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0016693801341626183
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,145.54485,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.00232941273709564
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,160.099335,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018610135062431643
