N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027994224767986663
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,62.5,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025463241544663403
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,37.5,50,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025630024965691265
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,62.5,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002545461537514597
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,37.5,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002476108633120095
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,59.895,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002691811465768301
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,65.8845,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027256750222950836
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,53.9055,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0021676955981064913
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.01089,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0023977138951420964
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.011979,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027022065325522904
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.009801,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002111791173199121
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.2,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026941374486085133
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.25,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0023190682940528984
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.15,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027711348488864826
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0999999999999999,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002359128554610594
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.003192596270109209
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.7,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002819274687520956
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.5,0.20000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0030894415390957802
