N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,225.0,10.01129150390625,140.625,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.001926198151709857
500,1,matrix_conceptor,225.0,10.01129150390625,84.375,300,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019461127001840766
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,375.0,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019345268063281206
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,225.0,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.00197123536006093
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,281.25,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019100321250445636
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.008100000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019183594855310044
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.008910000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019429593181495004
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.007290000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.001979855160781714
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.006561000000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019501774184946415
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002054552291858151
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,1.0499999999999998,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.001952672341764375
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9499999999999997,0.6000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0019299895656875905
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.7000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.001960758858829389
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.5000000000000001,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.001910804000294003
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.40000000000000013,0.20000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.0020744038057873343
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.40000000000000013,0.30000000000000004,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002050049055682033
500,1,matrix_conceptor,225.0,10.01129150390625,112.5,351.5625,3000,500,4.7829690000000007e-05,0.005904900000000001,0.9999999999999998,0.40000000000000013,0.10000000000000003,7.144929e-05,0.0005283278055,../res/2025-01-23 16:43:22__500.csv,2,20,0.002036900897131409
