n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,1000,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.0062369999999999995,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0023429216461979883
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,37.5,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0025862447020300393
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,46.875,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002455868588422177
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,58.59375,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0022499913800760863
3000,500,0.0084375,0.28579716,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.0045927,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0022556678801010015
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,73.2421875,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0026402886085904937
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,1000,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.005103,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0021599166436824754
3000,500,0.0084375,0.23383403999999997,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.0045927,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002281268599102045
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,37.791360000000005,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,73.2421875,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002144795088138227
3000,500,0.0084375,0.34235641796399996,1.6685485839843752e-05,25.19424,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,73.2421875,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0027272920933069807
3000,500,0.0084375,0.25721744399999996,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.0045927,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002713994104216967
